Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
Adrien Moerman;16;14.6;1.0;4.2;.239;0.6;2.8;.227;0.4;1.4;.261;0.3;0.5;.500;0.8;1.9;2.8;0.7;0.4;0.0;0.8;1.1;2.9
Alpha Diallo;33;25.5;4.0;8.5;.475;0.9;2.5;.345;3.2;5.9;.531;2.1;2.8;.758;1.6;2.7;4.3;2.1;1.4;0.3;1.4;2.8;11.0
Yakuba Ouattara;28;10.4;1.4;3.1;.465;0.7;1.9;.385;0.7;1.2;.588;0.1;0.3;.500;0.3;0.5;0.9;0.2;0.3;0.0;0.1;1.1;3.7
Chima Moneke;11;13.5;1.4;3.0;.455;0.0;0.2;.000;1.4;2.8;.484;1.5;1.8;.850;1.4;2.5;3.8;0.5;0.2;0.2;0.7;1.8;4.3
Donatas Motiejunas;33;17.7;3.7;6.2;.593;0.2;0.9;.258;3.4;5.2;.653;1.4;2.5;.568;1.2;2.4;3.6;0.7;0.2;0.1;0.8;1.7;9.0
Donta Hall;33;18.8;3.2;4.2;.748;0.0;0.0;;3.2;4.2;.748;1.7;2.4;.705;2.0;3.2;5.2;0.5;0.5;0.9;0.5;2.2;8.0
Elie Okobo;33;26.0;4.0;8.6;.467;1.4;3.8;.368;2.6;4.8;.544;3.5;4.1;.852;0.3;1.8;2.1;3.6;0.9;0.2;2.1;2.5;12.9
Jaron Blossomgame;31;17.8;1.9;4.5;.426;0.5;2.1;.246;1.4;2.5;.579;0.7;1.3;.550;0.9;1.8;2.7;0.2;0.4;0.1;0.4;2.0;5.1
John Brown;33;22.2;2.4;4.8;.497;0.1;0.2;.375;2.3;4.6;.503;0.8;1.1;.676;2.2;1.5;3.6;0.8;1.3;0.2;0.6;2.7;5.6
Jordan Loyd;27;25.4;3.9;8.7;.443;1.5;3.9;.377;2.4;4.8;.496;2.9;3.2;.908;0.3;2.1;2.4;2.7;1.2;0.1;1.2;2.4;12.1
Matthew Strazel;20;7.4;0.6;1.6;.355;0.3;0.9;.353;0.3;0.7;.357;0.3;0.4;.625;0.1;0.1;0.2;0.7;0.3;0.0;0.6;1.4;1.7
Mike James;30;31.2;5.4;13.6;.400;1.6;5.3;.294;3.9;8.3;.468;4.1;5.3;.780;0.7;2.8;3.5;4.7;1.1;0.0;2.4;1.8;16.6
Yoan Makoundou;6;8.3;0.8;2.3;.357;0.2;0.5;.333;0.7;1.8;.364;0.7;0.8;.800;1.3;0.8;2.2;0.5;0.2;0.3;0.8;0.7;2.5
